time,x,y,z,rx,ry,rz,rw
1442,0.0026706579729661173,0.002954008094698944,0.0007097173280417035,7.63618197441307e-06,-0.001361381209240254,-0.003926908127951889,-3.07342817523461e-05
1443,0.002603479310726964,0.002818691060057832,0.000719829452654086,7.680448327995748e-06,-0.0013626787815647179,-0.003939067478516421,-4.316956966281149e-05
1444,0.002664939817149492,0.00294162583244683,0.0007213622086780225,7.700198504489997e-06,-0.0013634407307605728,-0.003944543446229271,-5.4887012562741434e-05
1445,0.002664525521219263,0.0029458105692572317,0.0007309672238862142,7.719464794275765e-06,-0.001364279957779505,-0.003949910435945705,-7.162162496469986e-05
1446,0.0026199487991257486,0.002866390127055342,0.0007438690757679556,7.74026474126277e-06,-0.001365101897939155,-0.003955673371210794,-9.138173746824984e-05
1447,0.002531138638024344,0.002704470831642672,0.0007598119041773987,7.75991776724716e-06,-0.0013658229584748646,-0.003961076402421196,-0.0001142775789240576
1448,0.002576105495491088,0.0028043647809627495,0.0007699957427584336,7.75779075845584e-06,-0.0013660824625097677,-0.003960482275055785,-0.0001321671119649957
1449,0.0026871784092287743,0.003030466561530089,0.0007804559158978153,7.749976311810514e-06,-0.0013660767457431416,-0.003958342769179389,-0.00014330431202717438
1450,0.002651726566635537,0.0029817420061237984,0.0007952985472420293,7.732963449469388e-06,-0.0013660485434176498,-0.003953534203384028,-0.00017277909627280664
1451,0.002695538570868017,0.003079305527491215,0.0008033511829509954,7.727809889335191e-06,-0.0013658908916097069,-0.003952035674131957,-0.00018757119598021267
1452,0.0026689872184494923,0.0030398179339592366,0.0008077915289065873,7.731875519612075e-06,-0.0013656624580706124,-0.003953071352024201,-0.00020249890799832357
1453,0.0026608585109682004,0.0030314239215901637,0.0008127099200945231,7.741147281081773e-06,-0.0013653276115009024,-0.003955704779971766,-0.0002085654647870667
1454,0.002694464626809112,0.003101667773040058,0.0008150023573827436,7.75205180769678e-06,-0.0013650616263557753,-0.003958831407925017,-0.00021004162588197998
1455,0.002726804119274562,0.0031684747486066464,0.000816124109192462,7.763795285553599e-06,-0.0013648122634411972,-0.003962212709242013,-0.00020966245727508997
1456,0.002643832983526162,0.00300750517129085,0.0008192781664899673,7.784750331363277e-06,-0.0013643872986587634,-0.003968332624804393,-0.0002026719972571339
1457,0.002601995146310765,0.0029268869032396047,0.000813009631733197,7.806076397276485e-06,-0.001364296753643468,-0.003974359194669615,-0.0001970045415948253
1458,0.0025865104251241444,0.0028986029898531093,0.0008104796745120324,7.81603055788338e-06,-0.0013641984069099142,-0.003977221053132417,-0.00019206068522529258
1459,0.0025993136455993993,0.0029276224851340696,0.0008125056700571398,7.811280745784188e-06,-0.0013640274675911991,-0.003976013685169055,-0.00018989728976657157
1460,0.002614553148954424,0.002965674278775192,0.0008075833741394978,7.796371566004545e-06,-0.001363990700229713,-0.003971833478014398,-0.00019571780589319138
1461,0.002654451989263784,0.0030510008244017325,0.0008066222523876454,7.776619193378131e-06,-0.001363827459102027,-0.00396637588659935,-0.00020018167193700066
1462,0.0025040859721014996,0.0027693137113333835,0.0008082868597760196,7.721160423024287e-06,-0.0013632049586110415,-0.003951126426808419,-0.00020868588832481926
1463,0.0025495651149817222,0.0028666236926962116,0.0008078172701634911,7.685809171542601e-06,-0.0013628377243010744,-0.003941310391800109,-0.00021606202320707747
1464,0.002597620106556786,0.002969611234715029,0.0008077059761398275,7.644327945977025e-06,-0.0013623719015379687,-0.0039297492608046354,-0.00022496156783924595
1465,0.0024469210295872124,0.002693948466923529,0.0008093344212227183,7.539751114782334e-06,-0.0013609073016375567,-0.0039004422446697194,-0.0002484382891328546
1466,0.0025988971422663543,0.0029962953095220707,0.0008058685417683953,7.523615320192967e-06,-0.0013606956741449056,-0.0038958218511733617,-0.0002539284420905346
1467,0.002632586652578095,0.0030698538183056706,0.0008104511210162979,7.470892498417925e-06,-0.001359627139556562,-0.003881146401790289,-0.0002617287544831867
1468,0.002563780784102687,0.0029432282723754824,0.0008107322513629112,7.3969176551669236e-06,-0.0013578880223946064,-0.0038605692154501077,-0.00027173127347705924
1469,0.002572583449830801,0.002962424202152661,0.0008095882356125572,7.35257015416213e-06,-0.0013565557866495421,-0.0038484730945051054,-0.0002729916276992679
