px py pz ox oy oz ow
0.433627 -0.0766372 0.137383 0.999241 0.0338717 -0.0173886 0.00828564
0.433674 -0.0761474 0.137421 0.999222 0.0344081 -0.0174413 0.0082459
0.43376 -0.0757817 0.137525 0.999209 0.0348129 -0.0173635 0.00822375
0.43395 -0.0754389 0.137785 0.999201 0.0351899 -0.0170511 0.00822156
0.434201 -0.0751579 0.138229 0.9992 0.0354636 -0.0165335 0.00822726
0.434565 -0.0749034 0.138977 0.999208 0.0356268 -0.015683 0.00824294
0.435061 -0.074646 0.140222 0.99922 0.0358116 -0.014461 0.00823881
0.435475 -0.0745329 0.141493 0.999233 0.035884 -0.0133616 0.00821142
0.436027 -0.0745419 0.143066 0.999254 0.0358312 -0.011831 0.00821537
0.436574 -0.0745681 0.14439 0.999272 0.0357798 -0.0103591 0.00825959
0.437278 -0.0745785 0.146052 0.99929 0.0357513 -0.00846921 0.00832443
0.437932 -0.0745593 0.147615 0.999303 0.0357547 -0.00670756 0.0083826
0.438419 -0.0745324 0.14898 0.999311 0.0357523 -0.00525862 0.00840757
0.438757 -0.0745059 0.150024 0.999317 0.0357423 -0.00422499 0.00840758
0.438996 -0.0744906 0.150714 0.999319 0.0357413 -0.00354595 0.00841282
0.43923 -0.0744726 0.151227 0.999321 0.0357579 -0.00295121 0.00843712
0.43945 -0.0744177 0.151685 0.99932 0.035803 -0.00241632 0.00845949
0.439712 -0.0742867 0.152123 0.999317 0.0359216 -0.00189715 0.0084878
0.440005 -0.0740739 0.152541 0.999312 0.0360645 -0.00139491 0.00852065
0.440407 -0.0737256 0.15304 0.999304 0.0362926 -0.000787483 0.00856619
0.440859 -0.0733243 0.153499 0.999291 0.0366558 -0.000213239 0.00862225
0.441314 -0.0729323 0.153937 0.999278 0.0370003 0.000343916 0.00865501
0.441897 -0.0724791 0.1545 0.99927 0.0372249 0.00108533 0.00856912
0.442496 -0.0722129 0.155066 0.999257 0.0375079 0.00180632 0.00865842
0.443172 -0.0720191 0.155762 0.999249 0.0376596 0.002684 0.00876599
0.443769 -0.0719265 0.156417 0.999243 0.0377188 0.00349779 0.00886383
0.444363 -0.0719321 0.157088 0.99924 0.0376804 0.00433109 0.00896642
0.444786 -0.0719812 0.157653 0.999238 0.0376353 0.00501559 0.0090373
0.445284 -0.072033 0.158361 0.999235 0.0375639 0.00586233 0.00911864
0.445802 -0.0720788 0.159081 0.999234 0.0374432 0.0067275 0.00920449
0.446531 -0.0721436 0.160034 0.999228 0.0373295 0.00788075 0.0093275
0.44739 -0.0722389 0.161044 0.999221 0.0372005 0.00911873 0.00947886
0.448269 -0.0723448 0.161981 0.999212 0.0370976 0.0102837 0.00964116
0.449269 -0.0724836 0.162963 0.9992 0.0369992 0.0115224 0.00983156
0.450848 -0.0727263 0.164322 0.999184 0.0367802 0.0132783 0.010141
0.451817 -0.0728772 0.165082 0.999178 0.0365019 0.0142784 0.0103328
0.452891 -0.0730304 0.165914 0.999177 0.0360368 0.015377 0.0105417
0.454064 -0.073155 0.166826 0.999173 0.0355191 0.0165791 0.0107669
0.455132 -0.0732115 0.167648 0.999171 0.0350115 0.0176641 0.0109664
0.45623 -0.0732234 0.168483 0.999163 0.0345987 0.0187662 0.0111679
0.457541 -0.073194 0.169468 0.99915 0.0341554 0.0200751 0.0114069
0.458633 -0.0731021 0.170294 0.999142 0.0336359 0.0211871 0.0115977
0.459985 -0.0729168 0.171301 0.999127 0.0331278 0.0225222 0.0118261
0.461532 -0.0725765 0.172406 0.999089 0.0331577 0.0239774 0.0120866
0.462675 -0.0721955 0.173145 0.999047 0.0336371 0.0249656 0.012281
0.463903 -0.0716853 0.173799 0.998999 0.0342815 0.0258942 0.0124874
0.464903 -0.0712318 0.174192 0.998965 0.0347181 0.0265176 0.0126532
0.465869 -0.0707986 0.174401 0.998942 0.0349866 0.0269529 0.0128145
0.467189 -0.0703921 0.17457 0.998938 0.0346255 0.0274757 0.0130353
0.468302 -0.0702682 0.174618 0.998951 0.0338756 0.0278332 0.0132331
0.469697 -0.0703689 0.174505 0.998991 0.0323241 0.0281078 0.0134916
0.47107 -0.0706471 0.174173 0.999037 0.0306933 0.0281635 0.0137674
